Brightness,Greenness,Wetness,Label
1270.204,-198.07243,-1003.2018,2
1278.2316,-235.88225,-1050.305,2
1191.888,-131.18259,-1006.4325,2
1614.2399,-220.82843,-1399.4978,2
1488.3551,-226.02577,-1345.243,2
923.7803,-119.62322,-796.89294,2
1386.4321,-177.30373,-1205.1896,2
123.45833,-89.07015,12.13501,2
1953.1086,-216.88902,-1600.0637,2
926.4335,-118.51915,-768.8901,2
837.7515,-147.11766,-705.9968,2
872.5519,-114.24589,-731.1734,2
1073.5731,-135.18834,-878.7595,2
941.72394,-181.86858,-839.65247,2
918.8613,-167.42294,-780.5008,2
1665.7631,-206.19559,-1339.2148,2
1162.834,-139.00003,-906.82416,2
1411.9792,-258.0079,-1237.9377,2
200.31557,-159.8143,32.994545,2
693.212,-132.20969,-607.6801,2
1227.4418,-222.82707,-1116.2971,2
1229.0249,-251.56416,-1085.5704,2
1676.2479,-283.85074,-1490.8805,2
1523.4906,-273.59174,-1363.1812,2
1445.7686,-206.32697,-1126.6313,2
1338.0126,-261.25507,-1164.8022,2
1424.1837,-221.63203,-1172.1957,2
1603.1392,-274.62488,-1427.6284,2
1524.4983,-267.7626,-1334.6141,3
303.0928,-245.31573,52.410755,3
1234.6583,-183.05322,-1044.4674,3
1509.6934,-222.91164,-1276.234,3
1340.1407,-192.18774,-1107.1426,3
728.9453,-112.23963,-614.76733,3
1546.077,-245.74138,-1347.788,3
1272.0548,-206.85695,-1105.6078,3
1219.3473,-155.7532,-1032.2103,3
1034.5288,-180.62997,-917.29706,3
759.39465,-128.01732,-629.5769,3
964.68475,-197.26392,-876.6867,3
191.83838,-157.6834,33.06446,3
862.0284,-169.29776,-769.50665,3
780.52167,-141.37926,-686.20294,3
1017.975,-192.45366,-917.84564,3
1128.9642,-198.13007,-1011.7779,3
1070.0273,-163.44836,-918.3261,3
863.0083,-154.46556,-745.32324,3
987.0654,-140.55992,-862.4712,3
900.7424,-135.2604,-799.7386,3
697.8264,-125.42587,-627.77515,3
826.87006,-147.34837,-733.57166,3
120.44473,-91.76276,13.727644,3
675.6033,-101.545616,-576.42773,3
667.41,-109.14764,-584.0069,3
723.5239,-118.297935,-635.504,3
716.6489,-107.97791,-610.7279,3
704.48413,-109.47666,-629.38525,3
800.5653,-125.63087,-705.6614,3
720.9465,-111.0573,-635.40894,3
1163.0874,-101.103775,-962.25696,3
666.2026,-110.99039,-594.02637,3
1413.4591,-131.45502,-1132.172,3
322.2429,-283.77,96.58264,3
259.4989,-175.80737,-1.6432779,3
2898.944,-390.18884,-1299.5808,3
1884.8619,-473.3053,-659.4757,3
2626.9937,-417.49362,-1092.1996,3
1819.0322,-335.94147,-708.475,3
2775.4954,-571.5285,-1047.1526,3
2378.866,-563.41113,-829.50525,3
6602.1196,-983.2482,-2640.4465,3
4610.0195,-679.4429,-1826.0947,3
3399.1736,-782.1975,-1147.3247,3
4178.689,-754.872,-1561.6741,3
222.31058,-174.00607,25.655323,3
3827.9766,-513.69653,-1548.7515,3
959.52325,-243.69939,-296.75558,3
2746.3354,-184.91502,-1318.009,3
2578.8762,-172.2625,-1218.8345,3
1030.523,21.29123,-553.4294,3
2757.0117,72.19286,-1443.7839,3
2596.9504,5.977865,-1324.9688,3
3244.306,-561.06744,-1348.4575,3
2068.0298,-275.909,-888.911,3
1558.1178,-241.3064,-575.5187,3
207.14607,-152.81331,16.2941,3
2148.9048,-143.63794,-936.1242,3
1382.4286,-160.8189,-604.30054,3
3351.8884,-508.69174,-1268.8453,3
2691.8848,-96.68,-1358.3616,3
2187.7515,-195.72157,-1127.138,3
4969.0024,-731.51514,-1961.6211,3
1831.4713,-143.64987,-839.70276,3
1544.0986,-325.7747,-562.5934,3
2267.8442,-457.36517,-901.52985,3
1994.1791,-408.2054,-765.2328,3
265.5528,-185.8681,3.4883258,3
1368.4542,-156.0603,-626.5969,3
822.0279,-210.84955,-255.79633,3
2537.014,-430.52475,-1059.358,3
1722.2476,-368.70032,-660.88226,3
1321.1693,-325.82492,-499.2957,3
1992.855,-776.9015,-561.1859,3
2033.864,-330.54987,-888.08167,3
1914.5725,-561.8161,-711.7254,3
2290.2588,-675.9943,-732.72327,3
3616.3076,-892.72565,-1292.5594,3
233.73412,-227.50038,65.16854,3
4099.3237,-585.3871,-1720.6166,3
5311.506,-799.3116,-2122.309,3
3922.722,-1075.9906,-1113.3906,3
2013.0104,-567.21985,-574.98456,3
1715.4293,-191.129,-706.46185,3
2867.2102,-430.14926,-1140.9944,3
1990.101,-663.43365,-592.49274,3
2153.3542,-473.35208,-765.51465,3
2008.839,-494.9735,-623.93866,3
3471.6023,-995.9081,-946.59973,3
314.86594,-311.61212,98.33596,3
2823.3699,-1112.8198,-667.54944,3
3365.687,-1012.59247,-944.8725,3
1594.7697,-207.71704,-676.47845,3
1658.6365,-334.4542,-632.9614,3
2010.0222,-247.36922,-828.6411,3
3436.358,-265.44455,-1611.3159,3
1539.4547,-365.64703,-556.2271,3
2547.1333,-270.61816,-1119.2678,3
2975.8416,-419.20914,-1223.4708,3
5071.974,-829.8647,-1979.5388,4
209.12976,-203.9573,67.4972,4
1846.5859,-525.6835,-606.967,4
