Brightness,Greenness,Wetness,Label
823.0204,-784.7474,302.5218,0
808.4862,-783.7199,304.1475,0
805.6087,-776.0502,292.8387,0
822.0962,-792.4063,309.7182,0
800.7932,-776.5951,309.598,0
798.2084,-774.2818,308.6028,0
806.2412,-783.7199,304.6266,0
805.7893,-780.348,310.5269,0
802.925,-778.5246,309.4361,0
797.5068,-772.0325,295.849,0
794.3989,-775.3285,301.4982,0
791.9686,-763.8171,311.6396,0
793.8353,-765.1054,304.4153,0
786.725,-764.3576,296.583,0
786.1404,-769.0238,302.3742,0
790.7275,-758.6949,305.734,0
782.9054,-761.3486,299.1923,0
784.1981,-756.5732,302.8281,0
787.3138,-759.0522,298.0181,0
802.2851,-764.4771,298.329,0
792.2766,-759.4101,305.9338,0
795.4375,-764.2383,306.9402,0
790.334,-770.6008,302.8166,0
805.2265,-777.5137,306.5733,0
805.496,-771.9601,302.195,0
802.7565,-774.5015,302.2199,0
815.4884,-774.4213,301.5894,0
802.6986,-776.3138,298.4151,0
795.9464,-766.676,291.3977,0
688.1725,-632.0975,225.3149,0
669.3176,-624.1816,213.6819,0
676.3332,-631.2933,229.9492,0
687.5822,-635.088,231.2136,0
695.2962,-648.214,229.3111,0
668.4892,-617.5232,212.7555,0
673.4204,-629.2638,225.9409,0
679.9363,-637.4402,237.2946,0
696.918,-653.5225,242.9669,0
691.3026,-647.8945,238.3086,0
696.7749,-649.396,216.6451,0
695.1533,-653.1419,239.1683,0
671.2033,-613.7188,195.2149,0
667.8787,-615.2088,209.7206,0
669.1311,-617.7109,208.9442,0
680.0886,-635.0825,233.2125,0
683.3355,-636.3208,227.9296,0
689.635,-643.5185,234.1253,0
688.325,-641.3415,224.5178,0
692.088,-646.9232,238.681,0
682.4919,-637.6211,234.0523,0
683.2559,-636.5144,227.2621,0
669.7994,-609.315,198.9131,0
657.7505,-599.189,191.5946,0
676.8986,-612.5581,204.534,0
683.3947,-632.0037,218.6811,0
680.5442,-632.1897,226.7016,0
696.0922,-650.9695,236.1233,0
693.3708,-645.3215,229.2801,0
677.2378,-628.8414,229.7284,0
682.9933,-640.0353,236.2789,0
689.9897,-644.2418,224.7382,0
702.8577,-653.4283,218.5517,0
702.1241,-656.1705,230.4997,0
663.3892,-604.5879,207.4411,0
669.3047,-613.3872,192.7955,0
671.6725,-614.6065,198.3119,0
676.7269,-625.4276,214.5939,0
671.1508,-623.6505,226.1485,0
684.9419,-637.1826,227.0913,0
684.4568,-633.9982,224.2922,0
687.8328,-636.9485,231.4637,0
685.8833,-639.2101,235.0173,0
695.0198,-650.0062,217.6173,0
714.1106,-660.7117,225.7627,0
711.5915,-664.6529,237.3026,0
659.6053,-611.747,232.7935,0
655.2293,-608.6327,226.6075,0
661.1927,-616.6782,215.9168,0
663.097,-620.9538,207.8816,0
673.6218,-618.7635,210.4434,0
673.2653,-622.357,216.1848,0
672.5255,-622.887,212.3851,0
686.4033,-639.3789,221.5052,0
685.5173,-638.441,228.8327,0
692.4731,-651.1808,231.461,0
696.8656,-661.1997,221.1003,0
714.0177,-664.9857,228.0431,0
708.0481,-661.763,234.1006,0
647.3335,-603.5156,228.1476,0
648.805,-605.5486,241.3597,0
655.3749,-616.9617,250.3225,0
669.3792,-615.8799,228.0047,0
670.8082,-618.9121,192.475,0
677.7937,-621.5403,199.3156,0
679.853,-630.2789,211.9633,0
696.6107,-646.3959,221.1642,0
691.7741,-647.5834,217.2703,0
689.4438,-649.2542,227.4122,0
695.1416,-659.1462,227.5394,0
708.7266,-659.5974,219.6124,0
662.515,-606.552,211.6045,0
649.3912,-606.1327,226.996,0
651.1179,-609.0441,244.5462,0
649.0814,-617.1268,253.0791,0
652.8966,-608.2119,228.7996,0
669.1963,-620.1061,204.1812,0
680.7277,-621.7495,201.2354,0
678.3572,-629.0061,214.211,0
697.3188,-645.2054,219.4241,0
690.7558,-646.5954,219.0122,0
696.6575,-657.8378,230.7942,0
697.3178,-659.1461,225.5337,0
712.2568,-656.3433,221.4362,0
667.0701,-613.182,210.0566,0
659.7655,-613.3766,224.4124,0
648.2324,-611.305,237.827,0
653.039,-615.9488,246.3841,0
656.9847,-615.3763,249.9714,0
667.6711,-625.9034,244.5253,0
684.3577,-632.591,221.0656,0
692.0182,-639.1064,211.8399,0
688.8218,-637.3735,216.4735,0
691.8124,-650.0464,224.1143,0
693.9602,-651.8641,223.2713,0
713.036,-663.2814,225.1626,0
710.8136,-650.2397,226.6714,0
657.5732,-602.8786,208.2713,0
667.6033,-613.5543,213.5072,0
661.4233,-607.0412,221.9813,0
651.7458,-612.4594,227.3144,0
667.564,-616.6734,247.7349,0
667.4446,-620.2968,260.5039,0
668.2038,-620.8982,263.5098,0
676.4178,-624.2441,223.1078,0
682.0248,-629.0449,207.6662,0
685.176,-634.3534,220.4339,0
691.749,-648.1721,221.9033,0
687.7418,-648.1459,221.6769,0
697.4276,-652.8198,222.298,0
667.3004,-618.0929,217.9117,0
668.2546,-620.5703,223.4124,0
663.6368,-599.3868,216.2082,0
661.2355,-610.2888,225.3718,0
662.6743,-608.2863,231.4926,0
665.5158,-617.6681,246.5918,0
660.8904,-616.4734,246.4633,0
673.5356,-620.7699,228.2304,0
684.0759,-628.6433,226.5724,0
687.6471,-632.3961,221.5761,0
689.6308,-635.8409,227.7193,0
690.3024,-652.2629,223.6759,0
701.8437,-649.9957,226.8138,0
666.0055,-619.0188,221.3614,0
668.8896,-618.9553,228.0515,0
674.928,-626.6267,231.0756,0
661.1803,-610.1531,225.9698,0
660.2385,-600.6014,224.1493,0
661.1373,-605.3168,222.2788,0
663.1387,-611.5584,230.0904,0
671.4114,-615.5276,236.2868,0
682.208,-623.8468,238.484,0
688.4639,-635.0065,217.7848,0
684.6116,-639.7522,241.2946,0
689.3619,-652.0143,232.3618,0
679.503,-617.6627,216.4401,0
669.2929,-620.8203,222.7709,0
